,count
IPC 376B,18
IPC 304B,14
IPC 478,13
IPC 211,12
IPC 327,11
IPC 171H,11
IPC 376D,10
IPC 376E,10
IPC 217,10
IPC 445,8
IPC 373,8
IPC 375,8
IPC 354C,8
IPC 479,8
IPC 171I,8
IPC 194,8
IPC 222,7
IPC 503,7
IPC 171D,7
IPC 205,7
IPC 471,6
IPC 128,6
IPC 321,6
IPC 466,6
IPC 202,6
IPC 333,5
IPC 489C,5
IPC 203,5
IPC 197,5
IPC 365,5
IPC 428,5
IPC 153B,5
IPC 419,5
IPC 384,5
IPC 401,5
IPC 131,5
IPC 349,4
IPC 412,4
IPC 422,4
IPC 421,4
IPC 206,4
IPC 418,4
IPC 435,4
IPC 214,4
IPC 437,4
IPC 216,4
IPC 354,4
IPC 408,4
IPC 442,4
IPC 307,4
IPC 308,4
IPC 381,4
IPC 366B,4
IPC 472,4
IPC 429,4
IPC 171,4
IPC 121A,4
IPC 502,4
IPC 488,4
IPC 170,4
IPC 508,4
IPC 507,4
IPC 165,4
IPC 150,4
IPC 145,4
IPC 498E,4
IPC 500,4
IPC 363,3
IPC 451,3
IPC 455,3
IPC 120B,3
IPC 453,3
IPC 368A,3
IPC 460,3
IPC 340,3
IPC 339,3
IPC 338,3
IPC 463,3
IPC 449,3
IPC 486,3
IPC 154,3
IPC 152,3
IPC 391,3
IPC 441,3
IPC 397,3
IPC 144,3
IPC 404,3
IPC 407,3
IPC 411,3
IPC 130,3
IPC 413,3
IPC 506,3
IPC 510,3
IPC 425,3
IPC 464,3
IPC 457,3
IPC 299,3
IPC 485,3
IPC 301,3
IPC 477A,3
IPC 224,3
IPC 473,3
IPC 489B,3
IPC 313,3
IPC 440,2
IPC 221,2
IPC 366,2
IPC 155,2
IPC 477,2
IPC 403,2
IPC 448,2
IPC 320,2
IPC 153A,2
IPC 483,2
IPC 444,2
IPC 171E,2
IPC 443,2
IPC 142,2
IPC 378,2
IPC 218,2
IPC 504,2
IPC 382,2
IPC 141,2
IPC 450,2
IPC 398,2
IPC 481,2
IPC 171B,2
IPC 386,2
IPC 387,2
IPC 388,2
IPC 219,2
IPC 392,2
IPC 303,2
IPC 168,2
IPC 476,2
IPC 424,2
IPC 314,2
IPC 337,2
IPC 335,2
IPC 207,2
IPC 192,2
IPC 316,2
IPC 330,2
IPC 405,2
IPC 465,2
IPC 431,2
IPC 467,2
IPC 198,2
IPC 322,2
IPC 164,2
IPC 341,2
IPC 171G,2
IPC 157,2
IPC 166,2
IPC 345,2
IPC 310,2
IPC 201,2
IPC 158,2
IPC 416,2
IPC 354B,2
IPC 458,2
IPC 129,2
IPC 498A,2
IPC 356,2
IPC 357,2
IPC 434,1
IPC 487,1
IPC 436,1
IPC 484,1
IPC 470,1
IPC 480,1
IPC 474,1
IPC 469,1
IPC 498B,1
IPC 498C,1
IPC 430,1
IPC 498D,1
IPC 462,1
IPC 461,1
IPC 459,1
IPC 438,1
IPC 475,1
IPC 452,1
IPC 447,1
IPC 501,1
IPC 505,1
IPC 489E,1
IPC 439,1
IPC 120A,1
IPC 359,1
IPC 426,1
IPC 212,1
IPC 193,1
IPC 195,1
IPC 200,1
IPC 208,1
IPC 209,1
IPC 210,1
IPC 215,1
IPC 171F,1
IPC 220,1
IPC 223,1
IPC 225B,1
IPC 302,1
IPC 304,1
IPC 309,1
IPC 191,1
IPC 171A,1
IPC 312,1
IPC 149,1
IPC 122,1
IPC 123,1
IPC 124A,1
IPC 125,1
IPC 146,1
IPC 148,1
IPC 151,1
IPC 167,1
IPC 153,1
IPC 156,1
IPC 159,1
IPC 161,1
IPC 162,1
IPC 163,1
IPC 311,1
IPC 317,1
IPC 417,1
IPC 383,1
IPC 368,1
IPC 369,1
IPC 370,1
IPC 370A,1
IPC 376A,1
IPC 376C,1
IPC 395,1
IPC 364,1
IPC 396,1
IPC 399,1
IPC 400,1
IPC 410,1
IPC 414,1
IPC 415,1
IPC 364A,1
IPC 361,1
IPC 318,1
IPC 332,1
IPC 319,1
IPC 324,1
IPC 326,1
IPC 326A,1
IPC 328,1
IPC 331,1
IPC 334,1
IPC 358,1
IPC 336,1
IPC 342,1
IPC 343,1
IPC 344,1
IPC 353,1
IPC 354A,1
IPC 511,1
